"Theta [deg]","dB(GainTotal) [] - Freq='0.25GHz' Phi='0deg'"
0,-50.787465529306
2,-28.2607771427983
4,-21.9452144949484
6,-18.3334278811963
8,-15.7972363309075
10,-13.8443997469984
12,-12.2591050404094
14,-10.9272947139208
16,-9.78131034649388
18,-8.77771105857794
20,-7.88694354760754
22,-7.08799349091654
24,-6.36538766796228
26,-5.70740659252895
28,-5.10496468469074
30,-4.55087949060874
32,-4.03937823856422
34,-3.56575484889436
36,-3.12612549815787
38,-2.71725059485337
40,-2.33640262729807
42,-1.98126639451869
44,-1.6498625444905
46,-1.34048818082629
48,-1.05167016577299
50,-0.782128002035661
52,-0.530744035457568
54,-0.296539319678099
56,-0.0786539081190215
58,0.123669356563578
60,0.311098263509413
62,0.484222409530462
64,0.643562552219269
66,0.789578470735716
68,0.922675594714115
70,1.04321060791196
72,1.15149619145495
74,1.24780503882382
76,1.33237324887547
78,1.40540318256477
80,1.46706585241118
82,1.51750290021101
84,1.55682820732428
86,1.58512917251384
88,1.60246768435234
90,1.60888080829188
92,1.60438120232696
94,1.58895726953256
96,1.56257305041279
98,1.5251678527573
100,1.47665561138189
102,1.4169239645335
104,1.3458330276575
106,1.26321383842155
108,1.16886643908564
110,1.06255755316507
112,0.944017802432454
114,0.812938397113979
116,0.668967215969705
118,0.511704172915307
120,0.340695741765595
122,0.155428478989972
124,-0.0446786560472484
126,-0.260283435909477
128,-0.492131275100872
130,-0.741068324038209
132,-1.00805727319329
134,-1.29419655089102
136,-1.60074381127173
138,-1.92914490101161
140,-2.28106989920692
142,-2.65845839678055
144,-3.06357700056806
146,-3.49909323963948
148,-3.96817182088253
150,-4.47460186197623
152,-5.02296788763113
154,-5.61888399241631
156,-6.26932141934774
158,-6.98307818319449
160,-7.77147173326257
162,-8.64939524558633
164,-9.63699379133899
166,-10.7624556786208
168,-12.0669479243494
170,-13.6140371915067
172,-15.5095982060952
174,-17.9503482052164
176,-21.3712083640944
178,-27.1131746272127
180,-50.7116377757956
182,-28.2558417311414
184,-21.9422408620187
186,-18.3310334520087
188,-15.7951333881202
190,-13.8424825473687
192,-12.2573237887791
194,-10.9256224548124
196,-9.77973115476351
198,-8.77621496492927
200,-7.88552406224288
202,-7.08664627717619
204,-6.36410977938915
206,-5.70619600853343
208,-5.10382001472527
210,-4.54979977847245
212,-4.03836282883932
214,-3.56480329338984
216,-3.12523748895673
218,-2.71642591555765
220,-2.33564111703884
222,-1.98056792112328
224,-1.64922698435231
226,-1.33991540376867
228,-1.05116002369294
230,-0.781680320446839
232,-0.530358607281659
234,-0.296215900794043
236,-0.0783922142936617
238,0.123869651657468
240,0.311237529421772
242,0.484301059498227
244,0.643581043121618
246,0.789537302669369
248,0.922575310297407
250,1.04305179140986
252,1.15127946780392
254,1.24753107262376
256,1.33204274340651
258,1.40501687887795
260,1.46662452853423
262,1.51700737050358
264,1.55627932201027
266,1.58452781741259
268,1.60181478082457
270,1.6081773134112
272,1.60362810928284
274,1.58815560826599
276,1.56172388848213
278,1.52427229642809
280,1.47571480693148
282,1.41593909975882
284,1.34480533357288
286,1.26214459113227
288,1.16775696182296
290,1.06140921846934
292,0.942832034472832
294,0.811716674136627
296,0.667711072871062
298,0.510415203943416
300,0.339375603361212
302,0.154078892790386
304,-0.0460559000044168
306,-0.261686475726282
308,-0.493558173222782
310,-0.742517063009873
312,-1.0095257508137
314,-1.29568257456067
316,-1.60224509125109
318,-1.9306590422106
320,-2.28259439098671
322,-2.65999060005526
324,-3.06511413121622
326,-3.50063234683114
328,-3.96970975832613
330,-4.47613524917565
332,-5.02449305681909
334,-5.62039691455143
336,-6.27081759880322
338,-6.98455250434708
340,-7.77291823078939
342,-8.65080674907644
344,-9.63836135321883
346,-10.763767607281
348,-12.068188047004
350,-13.6151814777272
352,-15.5106074799882
354,-17.9511499330607
356,-21.371639970076
358,-27.1127331650299
360,-50.7874655293062
