Frequency,S11-S-Real,S11-S-Imaginary
907750000,0.294129452,0.478804541
927700000,0.565442635,-0.130137241
947650000,0.021961406,-0.342662635
967600000,-0.347211214,-0.046755149
987550000,-0.117759635,0.332645235
1007500000,0.298561611,0.289038715
1027450000,0.237543533,-0.011216996
1047400000,0.021509145,-0.060820793
1067350000,0.005424414,-0.005646403
1087300000,-0.068787539,0.011250017
1107250000,-0.123875875,0.175147718
1127200000,0.113120724,0.309514716
1147150000,0.331714516,0.125011815
1167100000,0.133278513,-0.174011639
1187050000,-0.160674975,-0.152576356
1207000000,-0.278766925,0.226907398
