"Theta [deg]","normalize(GainTotal) [] - Freq='3GHz' Phi='0deg'"
0,0.00014239460334139
2,0.00302412464082945
4,0.0102214653493557
6,0.0218138790776112
8,0.0379302938976053
10,0.058737148933664
12,0.0844226154560571
14,0.115176464333342
16,0.151165196893937
18,0.19250247413521
20,0.239215478751292
22,0.29120846986247
24,0.348225254362305
26,0.409812444957316
28,0.47528515705813
30,0.543696349321458
32,0.613810674942884
34,0.684083966743655
36,0.752650798410432
38,0.817325163531194
40,0.875622899990363
42,0.924818078611538
44,0.962047516071231
46,0.984475836128547
48,0.98952632180408
50,0.9751695378415
52,0.940243714202666
54,0.884761951791793
56,0.810147220633305
58,0.719333128206902
60,0.616680953211426
62,0.507691717235248
64,0.398531019946195
66,0.295424419663983
68,0.204011140794367
70,0.12875504317967
72,0.0725010067519309
74,0.0362359384230612
76,0.0190755385203908
78,0.0184614736789613
80,0.0305270866433534
82,0.0505767302664014
84,0.0736225938813249
86,0.0949285580212559
88,0.110517770927521
90,0.117605831328707
92,0.114924204218452
94,0.102900810331347
96,0.0836697261968614
98,0.0608922766708544
100,0.0393886737742327
102,0.0246020457032726
104,0.021942652835276
106,0.0360851200411503
108,0.0703101881961408
110,0.125988895820545
112,0.202296341485176
114,0.296212386131121
116,0.402820877431925
118,0.515865754284581
120,0.628474186123072
122,0.733926476922931
124,0.826348397835721
126,0.901224950837189
128,0.955678206676197
130,0.988503085775762
132,1
134,0.99167193870652
136,0.965861956015038
138,0.925397564907862
140,0.87328797987333
142,0.812496383441845
144,0.745788908789748
146,0.675648486981427
148,0.60423582414367
150,0.533380114736167
152,0.464586177293429
154,0.39904998673643
156,0.337679161401412
158,0.281117836239738
160,0.229776370690003
162,0.183865960109198
164,0.143437167973496
166,0.10842035599891
168,0.0786654098964224
170,0.053978195293994
172,0.0341517433174881
174,0.0189910313904261
176,0.00833113378018908
178,0.00204925662764084
180,7.16166211870409E-05
182,0.00237623398978744
184,0.00899252732772669
186,0.0199982106848959
188,0.0355135215423235
190,0.0556923770169762
192,0.0807097763993354
194,0.110744721105852
196,0.145958142064566
198,0.186465785260791
200,0.232306622060491
202,0.283407981113492
204,0.339549074806679
206,0.400324768195604
208,0.465111250883513
210,0.533034811516125
212,0.60294445612732
214,0.673389095008485
216,0.742600945102595
218,0.808489016108289
220,0.868650035402827
222,0.920408245082375
224,0.960898732593889
226,0.987209266905962
228,0.996590831438051
230,0.986735784767072
232,0.956105271827758
234,0.904267126931621
236,0.832187455857947
238,0.74240990835592
240,0.639061825870786
242,0.527647976578611
244,0.414627572360257
246,0.306811261170926
248,0.210652034185922
250,0.13152855737667
252,0.0731260070818791
254,0.0370075104543705
256,0.0224423099208897
258,0.0265205416069117
260,0.0445450523737102
262,0.07065311516663
264,0.0985893802747803
266,0.122529471151392
268,0.137844452886435
270,0.141702283713422
272,0.133423808157676
274,0.114545626283509
276,0.088585054641804
278,0.0605459697833593
280,0.0362406928363664
282,0.021525883244503
284,0.0215565051433596
286,0.0401519719549827
288,0.0793464085897782
290,0.139166018698491
292,0.217645952992541
294,0.311070467617779
296,0.414395529384044
298,0.521793601082621
300,0.627247679590989
302,0.725117973022497
304,0.810611917710266
306,0.880106815822912
308,0.931301481296563
310,0.96320326069007
312,0.975982700281655
314,0.970744150874031
316,0.949264080867653
318,0.913740971426024
320,0.866585532838195
322,0.810262931561634
324,0.74718441739342
326,0.67963698420266
328,0.609737076575508
330,0.539396654145696
332,0.470294923474291
334,0.40385438114675
336,0.341223669155452
338,0.283271242939277
340,0.230593072367336
342,0.183535315155886
344,0.142230184445466
346,0.106641021802166
348,0.0766114455101082
350,0.0519134820868415
352,0.0322905598847001
354,0.0174927199993512
356,0.00730294577134977
358,0.00155479856369519
360,0.00014239460334139
